folioviv,gasto_total_trimestral,tortilla,perfume,proporcion_tortilla,proporcion_perfume
1361364407,3103.31,NA,NA,NA,NA
1900192203,45587.51,867.8299999999999,290.32,0.019036573833490795,0.0063684109967839875
2460718014,50737.020000000004,539.97,0,0.010642524925586878,0
400491403,2441.51,NA,870.96,NA,0.3567300563995232
703787413,14940.73,1002.8399999999999,NA,0.06712121830727147,NA
3160433821,7877.83,NA,NA,NA,NA
1204216821,8356.09,NA,NA,NA,NA
2302986807,27301.62,385.68,NA,0.014126634243682244,NA
3160001817,12623.08,1337.1100000000001,150,0.10592581208389712,0.011882995275321079
1960136822,12273.61,0,NA,0,NA
802087303,11383.21,NA,NA,NA,NA
1161696002,34183.33,1171.6599999999999,NA,0.034275771260436,NA
1801003702,27930.82,899.95,NA,0.03222067952176127,NA
205349701,44851.32,NA,NA,NA,NA
2601035305,12018.26,411.42,435.48,0.03423290892358794,0.03623486261738388
2360109716,9000.74,867.8199999999999,NA,0.09641651686416894,NA
803069305,13920.02,430.7,NA,0.03094104749849497,NA
1560987201,14663.31,1234.25,NA,0.08417267315496979,NA
3000503206,5800.11,192.85,NA,0.03324936940851122,NA
660008205,16901.07,1157.12,NA,0.06846430433102756,NA
506582309,3763.41,398.56,NA,0.10590395412670955,NA
808029202,16536.28,539.97,NA,0.03265365608226276,NA
3160192416,19347.03,NA,203.22,NA,0.010503937813710942
2900324724,29888.29,NA,NA,NA,NA
1561808517,28599.15,771.41,NA,0.026973179272810552,NA
1800468404,51848.44,449.95,NA,0.00867817816698053,NA
400536603,25743.82,340.69,NA,0.013233855737027372,NA
916072002,10198.35,713.53,NA,0.06996523947501311,NA
860585202,15777.18,NA,NA,NA,NA
906485903,33320.409999999996,835.6899999999999,1741.93,0.025080423680260838,0.05227816824582891
1562235824,22974.64,835.6999999999999,180,0.03637488987857916,0.007834725593088728
1204532207,21172.16,1799.97,NA,0.085015888789807,NA
2260465314,21649.24,539.98,NA,0.024942215061591076,NA
2500872006,29878.48,771.4,NA,0.025817913093303273,NA
2060093524,12496.01,2159.99,NA,0.17285437511653717,NA
1409793308,24484.72,0,NA,0,NA
1460479204,10212.26,1079.94,NA,0.1057493639997415,NA
860263205,3481.4,NA,NA,NA,NA
2601614601,34110.28,NA,NA,NA,NA
260069301,21398.26,NA,NA,NA,NA
2103480002,24394.18,359.99,NA,0.014757208481695224,NA
1702614009,24369.3,1330.65,NA,0.05460353805813052,NA
601421505,6678.01,1157.1,NA,0.17327018078739023,NA
2504392301,27984.68,668.54,NA,0.023889499540462853,NA
2760095602,36167.07,1054.27,NA,0.02914999749772376,NA
160163717,56906.81,1979.93,NA,0.03479249671524375,NA
101606905,33619.45,514.27,NA,0.015296799917904665,NA
2360106224,37965.62,1414.23,NA,0.03725028064865001,NA
3201311220,33300.65,424.27,NA,0.012740592150603665,NA
2701761306,14799.82,321.4,1161.29,0.021716480335571647,0.07846649486277536
804968306,38503.4,NA,NA,NA,NA
101289404,14842.14,771.4,NA,0.05197363722482068,NA
1060023401,7766.39,154.28,NA,0.019865085322781882,NA
2200221005,86960.23,539.98,NA,0.006209505195650932,NA
1460745509,5223.96,NA,NA,NA,NA
